Commerce Cloud Product Active Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
productID,revenueDay,unitsDay,ordersDay,impressionsDay,viewsDay,avgSalesPriceDay,conversionDay,revenueWeek,unitsWeek,ordersWeek,impressionsWeek,viewsWeek,avgSalesPriceWeek,conversionWeek,revenueMonth,unitsMonth,ordersMonth,impressionsMonth,viewsMonth,avgSalesPriceMonth,conversionMonth,revenueYear,unitsYear,ordersYear,impressionsYear,viewsYear,avgSalesPriceYear,conversionYear
7.02E+11,405,3,3,47,14,135,0.018321,2769.69,25,21,286,96,131.89,0.0183,8193,81,75,1735,478,109.24,0.015471,162482.04,1347,1098,19912,6101,147.98,0.028335
7.02E+11,1755,14,13,200,58,135,0.079391,11310.43,114,103,1495,354,109.81,0.089755,48368.64,438,376,5442,2150,128.64,0.077563,499893.16,4635,3809,75609,22512,131.24,0.098295
7.02E+11,1890,15,14,140,66,135,0.085498,18243.42,130,114,970,451,160.03,0.099341,42129.75,378,377,5078,1908,111.75,0.07777,727682.48,6368,6002,63727,28744,121.24,0.154887
7.02E+11,541.5,7,6,162,69,90.25,0.036642,4231.61,43,41,1145,389,103.21,0.035728,16937.16,189,174,5722,1869,97.34,0.035894,170968.98,2574,2353,58443,19631,72.66,0.060721
7.02E+11,180.5,2,2,37,15,90.25,0.012214,1209.56,11,11,311,124,109.96,0.009585,5229.51,62,53,1298,438,98.67,0.010933,57372.84,797,756,14926,5022,75.89,0.019509
7.02E+11,722,9,8,220,39,90.25,0.048856,4622.13,52,51,1314,294,90.63,0.044442,21500.92,271,238,8090,1420,90.34,0.049096,155277.76,1774,1423,53740,8454,109.12,0.036722
7.02E+11,576,4,4,119,31,144,0.024428,4209.57,30,27,918,183,155.91,0.023528,20036.25,139,117,3840,978,171.25,0.024135,88406.57,879,739,27295,4861,119.63,0.019071
7.02E+11,432,3,3,49,19,144,0.018321,3418.2,24,20,378,141,170.91,0.017428,17781.12,129,108,1196,647,164.64,0.022279,201158.58,1503,1317,14400,7160,152.74,0.033986
7.02E+11,1152,8,8,232,105,144,0.048856,9612.24,71,66,1313,881,145.64,0.057513,24531.57,240,207,5861,2611,118.51,0.042701,543718.75,3230,3125,88871,43220,173.99,0.080643
7.02E+11,324,2,2,143,48,162,0.012214,2732.96,18,16,1011,298,170.81,0.013943,12630.32,72,68,4291,1584,185.74,0.014027,58060.6,359,326,23813,5714,178.1,0.008413
7.02E+11,324,2,2,179,47,162,0.012214,2249.64,14,12,1047,320,187.47,0.010457,8239.84,55,49,4550,1612,168.16,0.010108,70573.8,430,374,32058,9041,188.7,0.009651
7.02E+11,3078,23,19,223,80,162,0.116033,20680.45,116,115,1540,487,179.83,0.100212,102454.92,674,612,7790,2500,167.41,0.126247,360029.86,2935,2546,23820,11788,141.41,0.065702
7.02E+11,2430,16,15,191,94,162,0.091605,12266.13,99,87,1540,659,140.99,0.075813,60839.9,414,410,4772,3511,148.39,0.084577,947838.1,7271,5885,57151,39418,161.06,0.151868
7.02E+11,486,3,3,180,24,162,0.018321,4434.72,26,24,1376,150,184.78,0.020914,15509.34,107,99,6351,894,156.66,0.020422,80109.9,752,615,31257,5512,130.26,0.015871
7.02E+11,1458,10,9,127,49,162,0.054963,12886.5,77,75,789,324,171.82,0.065356,50112.74,310,262,3920,1569,191.27,0.054047,325792.45,2214,2005,27614,13213,162.49,0.051741
7.02E+11,162,1,1,35,13,162,0.006107,1420,9,8,302,84,177.5,0.006971,3531.06,29,27,1011,371,130.78,0.00557,62390.64,372,312,10679,5434,199.97,0.008051
7.02E+11,1296,9,8,209,50,162,0.048856,10709.71,56,53,1642,342,202.07,0.046185,44087.12,281,238,6991,1861,185.24,0.049096,262748.4,2269,1893,48334,16599,138.8,0.048851
7.02E+11,162,1,1,100,31,162,0.006107,1298.29,8,7,790,200,185.47,0.0061,4950.01,29,29,2481,862,170.69,0.005982,35325.56,239,212,31997,7779,166.63,0.005471
7.02E+11,162,1,1,33,8,162,0.006107,1036,7,7,237,57,148,0.0061,5326.16,29,28,1190,240,190.22,0.005776,6919.5,35,35,1171,240,197.7,0.000903
7.02E+11,486,3,3,153,41,162,0.018321,4182.09,24,23,919,242,181.83,0.020042,15200.76,76,76,5001,1112,200.01,0.015678,23980.18,172,157,6281,1934,152.74,0.004052
7.02E+11,324,2,2,244,41,162,0.012214,1954.15,13,11,2117,235,177.65,0.009585,8925.8,71,65,7956,1209,137.32,0.013409,137238.52,741,718,101606,17494,191.14,0.018529
7.02E+11,47.98,2,2,79,16,23.99,0.012214,265.65,11,11,635,139,24.15,0.009585,1176.57,60,51,2869,483,23.07,0.010521,12760.96,667,628,31080,4906,20.32,0.016206
7.02E+11,3.62,1,1,91,16,3.62,0.006107,29.82,7,7,628,103,4.26,0.0061,120.36,34,34,3053,597,3.54,0.007014,682.08,188,174,20718,3171,3.92,0.00449
7.02E+11,84.2,4,4,67,24,21.05,0.024428,786.08,37,34,404,194,23.12,0.029628,3416.77,146,133,2337,647,25.69,0.027436,2504.44,157,127,2177,802,19.72,0.003277
7.02E+11,298.32,8,8,193,66,37.29,0.048856,1838.54,69,61,1370,531,30.14,0.053156,10928.02,316,262,5029,2005,41.71,0.054047,64037.1,2105,1889,54697,16996,33.9,0.048747
7.02E+11,642.08,18,16,204,95,40.13,0.097712,3494.82,116,106,1734,615,32.97,0.092369,22283.1,501,486,4949,2646,45.85,0.100255,70391.97,1794,1507,27497,12780,46.71,0.03889
7.02E+11,551.82,19,17,244,79,32.46,0.103819,2472.85,96,95,1924,551,26.03,0.082784,17382.34,649,614,7855,1901,28.31,0.12666,28384.99,855,739,8736,2668,38.41,0.019071
7.02E+11,417.51,11,9,139,46,46.39,0.054963,2644.85,78,65,873,344,40.69,0.056642,16849.35,375,315,3354,1511,53.49,0.06498,61762.4,1550,1435,28604,10584,43.04,0.037031
7.02E+11,119.79,10,9,210,86,13.31,0.054963,689.71,66,59,1279,725,11.69,0.051413,4711.44,340,293,7771,2890,16.08,0.060442,49733.3,4529,3782,77247,32011,13.15,0.097598
7.02E+11,39.79,1,1,67,9,39.79,0.006107,229.92,6,6,411,64,38.32,0.005228,1267.28,32,31,2204,301,40.88,0.006395,8315,294,250,22053,3237,33.26,0.006451
7.02E+11,219.55,5,5,143,58,43.91,0.030535,1516.55,41,35,930,403,43.33,0.030499,7890.96,154,147,4662,2138,53.68,0.030324,44844.8,1463,1274,34557,13728,35.2,0.032877
7.02E+11,28.82,2,2,134,30,14.41,0.012214,159.72,12,12,1080,189,13.31,0.010457,927.96,70,57,3831,1065,16.28,0.011758,8783.29,755,607,59448,11587,14.47,0.015664
7.02E+11,135.24,7,7,98,48,19.32,0.042749,845.2,48,40,608,395,21.13,0.034856,3129.36,181,177,3673,1353,17.68,0.036513,13367.8,929,751,12522,7740,17.8,0.01938
7.02E+11,366.03,9,9,199,56,40.67,0.054963,2513.13,68,57,1446,442,44.09,0.04967,2962.48,83,76,2326,652,38.98,0.015678,4601.8,103,95,2247,642,48.44,0.002452
7.02E+11,130.72,9,8,93,36,16.34,0.048856,1075.7,70,62,613,215,17.35,0.054027,3636.6,259,220,3419,1334,16.53,0.045383,53254.17,3457,3153,32214,15037,16.89,0.081366
7.02E+11,66,4,4,246,84,16.5,0.024428,491.1,33,30,1619,658,16.37,0.026142,1489.28,112,104,8919,2226,14.32,0.021454,6908.64,521,444,27276,9186,15.56,0.011458
7.02E+11,704.82,19,17,149,73,41.46,0.103819,5088.33,145,117,1249,458,43.49,0.101955,21586.85,724,589,3662,2116,36.65,0.121502,166345.2,4744,4410,43925,25575,37.72,0.113804
7.02E+11,282.36,6,6,134,38,47.06,0.036642,1279.08,39,33,1066,254,38.76,0.028756,11045.58,262,221,3966,1387,49.98,0.045589,75923.8,2200,1970,47777,16418,38.54,0.050838
7.02E+11,93.96,3,3,31,14,31.32,0.018321,581.22,22,18,260,119,32.29,0.015685,2633.84,75,73,974,403,36.08,0.015059,17199.1,680,587,5108,2184,29.3,0.015148
7.02E+11,32.61,1,1,103,23,32.61,0.006107,314.56,9,8,659,162,39.32,0.006971,1151.37,41,33,3697,771,34.89,0.006807,11271.2,467,386,45888,7668,29.2,0.009961
7.02E+11,242.55,5,5,220,82,48.51,0.030535,1765.92,41,39,1298,634,45.28,0.033985,10703.19,207,177,7791,2615,60.47,0.036513,85901.34,1894,1589,52555,24944,54.06,0.041006
7.02E+11,14.82,1,1,81,10,14.82,0.006107,80.45,5,5,467,71,16.09,0.004357,665.63,39,37,2430,281,17.99,0.007633,1228.11,69,67,4550,585,18.33,0.001729
7.02E+11,44.4,13,12,230,79,3.7,0.073284,264.83,76,71,1803,470,3.73,0.06187,1702,434,370,6716,2096,4.6,0.076326,3491.46,1377,1141,23125,9623,3.06,0.029445
7.02E+11,11.85,1,1,49,19,11.85,0.006107,76.98,7,6,302,161,12.83,0.005228,314.44,28,28,1300,512,11.23,0.005776,2108.4,201,168,10632,3949,12.55,0.004335
7.02E+11,216,2,2,82,11,108,0.012214,1385.4,17,15,599,63,92.36,0.013071,3034.85,42,35,1311,195,86.71,0.00722,3534.18,47,39,1409,246,90.62,0.001006
7.02E+11,60,1,1,30,6,60,0.006107,561.84,8,8,212,49,70.23,0.006971,2094.4,30,28,828,188,74.8,0.005776,18633.26,371,317,7279,1778,58.78,0.00818
7.02E+11,112.5,1,1,113,25,112.5,0.006107,828.56,9,8,768,186,103.57,0.006971,4079.46,35,33,3333,850,123.62,0.006807,4801.44,42,42,5782,1023,114.32,0.001084
7.02E+11,490,8,7,160,48,70,0.042749,4252.05,63,55,1208,285,77.31,0.047927,5602.52,71,68,2271,471,82.39,0.014027,7361.41,127,103,1864,470,71.47,0.002658
7.02E+11,1215,10,10,182,63,121.5,0.06107,6603.35,65,65,1157,414,101.59,0.056642,32678.76,280,249,5498,2335,131.24,0.051365,469645.43,5159,4273,63167,23898,109.91,0.110269
7.02E+11,108,1,1,33,7,108,0.006107,712.11,8,7,224,56,101.73,0.0061,3480.68,31,28,1107,194,124.31,0.005776,8820.8,85,74,2515,508,119.2,0.00191
7.02E+11,1458,9,9,180,61,162,0.054963,10986.76,71,68,1286,342,161.57,0.059256,51544.84,375,313,5902,2063,164.68,0.064567,121262.56,748,706,16887,6304,171.76,0.018219
7.02E+11,195,3,3,45,22,65,0.018321,1119.78,20,18,290,144,62.21,0.015685,8459.64,125,108,1545,652,78.33,0.022279,21450.06,319,269,4328,2337,79.74,0.006942
7.02E+11,330,6,6,148,72,55,0.036642,2322.54,41,34,1242,413,68.31,0.029628,10010.34,179,171,5096,2398,58.54,0.035275,56711.4,1092,930,17616,8324,60.98,0.024
7.02E+11,110,2,2,181,22,55,0.012214,538.32,13,12,1013,174,44.86,0.010457,3416.69,61,59,6747,610,57.91,0.012171,45605.34,773,682,44536,5306,66.87,0.0176
7.02E+11,60,1,1,53,6,60,0.006107,407.26,8,7,340,38,58.18,0.0061,1577.31,35,29,1907,181,54.39,0.005982,28575.3,459,390,22426,1887,73.27,0.010064
7.02E+11,1096.5,6,6,90,28,182.75,0.036642,6072.48,39,36,646,163,168.68,0.031371,26920,192,160,2914,820,168.25,0.033006,323751.78,1465,1447,23313,7662,223.74,0.037341
7.02E+11,70,1,1,31,10,70,0.006107,487.36,8,8,260,62,60.92,0.006971,2183.68,39,32,1148,304,68.24,0.006601,33299.89,403,403,11674,3872,82.63,0.0104
7.02E+11,110,2,2,86,31,55,0.012214,1013.25,16,15,673,239,67.55,0.013071,2922.36,53,49,2324,832,59.64,0.010108,40179.9,755,670,28574,8793,59.97,0.01729
7.02E+11,450,5,5,101,34,90,0.030535,2999.56,34,31,857,199,96.76,0.027014,12719.7,161,135,3332,1206,94.22,0.027849,224368.76,2355,2134,33200,12424,105.14,0.05507
7.02E+11,891,10,9,165,41,99,0.054963,5489,57,55,932,358,99.8,0.047927,24173.7,291,285,4917,1146,84.82,0.058791,301638.48,3114,2904,61207,16767,103.87,0.07494
7.02E+11,60,1,1,59,13,60,0.006107,489.02,7,7,345,101,69.86,0.0061,1713.84,26,24,1855,353,71.41,0.004951,6031.92,93,82,4794,930,73.56,0.002116
7.02E+11,260,4,4,159,21,65,0.024428,598.16,8,8,276,33,74.77,0.006971,478.03,7,7,275,42,68.29,0.001444,506.16,9,9,283,39,56.24,0.000232
7.02E+11,120,2,2,128,16,60,0.012214,878.4,16,16,994,133,54.9,0.013943,3402.6,72,60,4547,579,56.71,0.012377,6072.6,137,116,8307,1099,52.35,0.002993
7.02E+11,210,8,7,212,33,30,0.042749,1601.72,54,46,1457,240,34.82,0.040085,8299.98,285,234,7468,1228,35.47,0.048271,76839.75,2651,2405,91132,12414,31.95,0.062063
7.02E+11,180,6,6,86,29,30,0.036642,1780.66,55,49,744,241,36.34,0.042699,6991.76,207,194,2393,1084,36.04,0.040019,63572.96,1837,1762,32626,12482,36.08,0.04547
7.02E+11,108,1,1,148,17,108,0.006107,769.08,6,6,953,100,128.18,0.005228,2401.88,32,26,4319,425,92.38,0.005363,26168.3,369,302,44067,7419,86.65,0.007793
7.02E+11,2160,17,15,142,66,144,0.091605,17988.28,133,127,932,466,141.64,0.110669,59549.6,547,440,5155,2159,135.34,0.090766,806017.41,5029,4741,53690,20221,170.01,0.122346
7.02E+11,198,2,2,60,13,99,0.012214,1906.08,19,16,351,88,119.13,0.013943,6312.96,66,64,1944,452,98.64,0.013202,57015.01,627,533,12836,3240,106.97,0.013755
7.02E+11,495,5,5,173,41,99,0.030535,3492.43,41,37,1137,230,94.39,0.032242,15831.58,173,142,4179,1188,111.49,0.029293,206067.42,2623,2122,71781,15703,97.11,0.05476
7.02E+11,99,1,1,53,12,99,0.006107,649.67,7,7,308,74,92.81,0.0061,2471.38,36,29,1699,441,85.22,0.005982,26984.88,280,248,12109,3059,108.81,0.0064
7.02E+11,1287,13,13,227,107,99,0.079391,10732.26,109,101,1790,649,106.26,0.088012,40977.9,492,405,8175,3612,101.18,0.083546,393205.6,5863,4912,66712,45182,80.05,0.126759
7.02E+11,99,1,1,116,34,99,0.006107,566.28,6,6,829,289,94.38,0.005228,2246.64,26,24,2840,837,93.61,0.004951,32696.76,376,318,41727,11679,102.82,0.008206
7.02E+11,891,10,9,118,41,99,0.054963,5059.84,59,59,711,278,85.76,0.051413,27391.48,270,233,4392,1389,117.56,0.048065,273990.66,3371,2757,30041,14976,99.38,0.071147
7.02E+11,1560,24,24,229,103,65,0.146568,10862.38,225,206,1959,677,52.73,0.17951,62663.94,1056,873,8546,3287,71.78,0.180088,135535.68,3126,2592,25335,9687,52.29,0.066889
7.02E+11,325,5,5,103,33,65,0.030535,1758.27,36,29,875,280,60.63,0.025271,10084.8,197,160,3067,841,63.03,0.033006,102024,1994,1744,43102,11309,58.5,0.045006
7.02E+11,130,2,2,177,26,65,0.012214,1228.64,18,16,1144,153,76.79,0.013943,3618.47,65,59,5347,780,61.33,0.012171,43912.65,976,835,76146,8639,52.59,0.021548
7.02E+11,390,7,6,219,97,65,0.036642,3295.64,56,47,1295,575,70.12,0.040956,11898.37,240,209,7179,3490,56.93,0.043114,107536.96,1620,1538,68944,31076,69.92,0.039689
7.02E+11,65,1,1,222,31,65,0.006107,456.54,7,7,1251,190,65.22,0.0061,2110.64,34,28,7789,1116,75.38,0.005776,10277.1,194,171,36674,6307,60.1,0.004413
7.02E+11,65,1,1,35,4,65,0.006107,459.27,7,7,226,32,65.61,0.0061,1834.75,29,25,881,101,73.39,0.005157,19310.3,425,370,11078,966,52.19,0.009548
7.02E+11,910,15,14,142,63,65,0.085498,6738.86,108,94,1126,516,71.69,0.081912,22373.12,382,308,2536,1487,72.64,0.063536,20231.32,279,268,2747,1352,75.49,0.006916
7.02E+11,490,8,7,229,59,70,0.042749,3456.64,46,44,1359,379,78.56,0.038342,18014.4,222,216,6458,1937,83.4,0.044558,46665.08,853,763,30456,6375,61.16,0.01969
7.02E+11,210,3,3,59,27,70,0.018321,1404.24,29,24,502,226,58.51,0.020914,5215.5,88,75,1872,866,69.54,0.015471,84075.04,1383,1108,18557,9505,75.88,0.028593
7.02E+11,140,2,2,181,31,70,0.012214,705.21,12,11,1198,219,64.11,0.009585,3356.1,54,54,4724,1145,62.15,0.011139,28310.1,554,455,37176,4708,62.22,0.011742
7.02E+11,140,2,2,40,10,70,0.012214,906.78,16,14,270,82,64.77,0.0122,6079.02,77,71,1211,268,85.62,0.014646,18396.84,288,242,3586,1003,76.02,0.006245
7.02E+11,490,7,7,176,62,70,0.042749,4756.08,63,56,1264,452,84.93,0.048799,15429.4,227,206,6086,1855,74.9,0.042495,230587.84,3094,2648,64643,20751,87.08,0.068334
7.02E+11,70,1,1,98,31,70,0.006107,520.62,7,6,766,226,86.77,0.005228,1996.8,37,32,2510,1144,62.4,0.006601,34522.18,487,406,37115,11393,85.03,0.010477
7.02E+11,70,1,1,40,18,70,0.006107,394.66,8,7,227,114,56.38,0.0061,2920.26,38,34,1305,598,85.89,0.007014,16757.7,289,249,9561,3550,67.3,0.006426
7.02E+11,1120,17,16,189,75,70,0.097712,9686.58,125,114,1210,470,84.97,0.099341,39107.25,651,525,6381,1850,74.49,0.1083,316394.9,5530,5290,62033,21959,59.81,0.136513
7.02E+11,70,1,1,227,22,70,0.006107,499.28,9,8,1840,125,62.41,0.006971,2367.85,34,29,6696,713,81.65,0.005982,9123.62,124,113,18916,2637,80.74,0.002916
7.02E+11,1890,14,12,151,71,157.5,0.073284,17484,101,93,959,475,188,0.081041,61853.4,378,315,5204,1800,196.36,0.06498,526104.14,3638,3466,30662,15270,151.79,0.089443
7.02E+11,945,6,6,150,56,157.5,0.036642,8791.2,56,48,1157,420,183.15,0.041828,26628.69,258,209,3670,1892,127.41,0.043114,28213.92,224,189,4132,1635,149.28,0.004877
7.02E+11,630,4,4,188,72,157.5,0.024428,5976.49,36,31,1552,609,192.79,0.027014,22058.75,140,125,6073,2319,176.47,0.025786,50573.49,353,331,17280,6774,152.79,0.008542
7.02E+11,1260,9,8,118,53,157.5,0.048856,13107.21,80,67,958,415,195.63,0.058384,48849.24,274,253,3426,1748,193.08,0.05219,187032.85,1173,1109,22196,9147,168.65,0.028619
7.02E+11,472.5,3,3,92,34,157.5,0.018321,4468.08,27,24,616,278,186.17,0.020914,13664.14,91,73,3095,918,187.18,0.015059,196578.24,1273,1228,32605,14822,160.08,0.03169
7.02E+11,472.5,3,3,53,17,157.5,0.018321,2253.76,19,16,312,137,140.86,0.013943,15903.9,106,90,1667,549,176.71,0.018566,194175.68,1365,1264,19358,6516,153.62,0.032619
7.02E+11,1575,11,10,170,46,157.5,0.06107,14093.44,93,76,1248,299,185.44,0.066227,41780.12,296,244,5544,1653,171.23,0.050334,318096.57,2324,2211,53798,11190,143.87,0.057057
7.02E+11,684,4,4,184,24,171,0.024428,5030.19,34,33,1204,172,152.43,0.028756,7242.2,36,35,2278,219,206.92,0.00722,7138.36,54,47,2049,237,151.88,0.001213
7.02E+11,684,4,4,121,50,171,0.024428,5331.82,26,26,982,330,205.07,0.022657,28005.12,172,143,3621,1295,195.84,0.029499,252077.76,2106,1752,43134,14529,143.88,0.045212
7.02E+11,1710,11,10,138,55,171,0.06107,15066.75,75,75,1050,315,200.89,0.065356,53780.48,318,256,4918,1703,210.08,0.052809,407716.25,2634,2375,37288,16375,171.67,0.061289
7.02E+11,1026,6,6,82,26,171,0.036642,6476.04,39,36,594,225,179.89,0.031371,41544.8,258,220,2526,929,188.84,0.045383,246960,1973,1715,18949,5974,144,0.044257
7.02E+11,1710,10,10,126,44,171,0.06107,11660.4,72,72,877,280,161.95,0.062741,52466.8,347,290,4663,1419,180.92,0.059823,107227.42,681,661,8158,2966,162.22,0.017058
7.02E+11,342,2,2,46,20,171,0.012214,2426.75,17,17,325,146,142.75,0.014814,13113.1,77,70,1637,686,187.33,0.01444,74888.88,491,456,10402,3802,164.23,0.011767
7.02E+11,684,4,4,102,21,171,0.024428,5363.5,41,34,817,167,157.75,0.029628,17764.11,127,117,3794,712,151.83,0.024135,237830.4,1554,1440,29718,5784,165.16,0.037161
7.02E+11,992.75,13,11,249,113,90.25,0.067177,7455.6,108,95,1630,931,78.48,0.082784,31973.77,372,361,8148,2724,88.57,0.074469,339039.63,4279,3513,70388,27416,96.51,0.090656
7.02E+11,902.5,11,10,131,57,90.25,0.06107,5733,93,75,831,474,76.44,0.065356,27461.46,381,327,4260,2099,83.98,0.067455,90082.08,968,846,9575,5597,106.48,0.021832
7.02E+11,180.5,2,2,76,9,90.25,0.012214,982.92,14,12,460,62,81.91,0.010457,4384.05,65,55,1825,332,79.71,0.011346,63220.38,886,807,32849,4050,78.34,0.020825
7.02E+11,1606.5,7,7,95,29,229.5,0.042749,12076.84,46,46,591,241,262.54,0.040085,51159.57,281,231,3115,974,221.47,0.047652,800935.44,3717,3112,30686,12311,257.37,0.080308
7.02E+11,229.5,1,1,46,21,229.5,0.006107,1186.6,5,5,400,118,237.32,0.004357,6818.88,38,32,1482,509,213.09,0.006601,83563.04,358,316,17675,6960,264.44,0.008155
7.02E+11,229.5,1,1,31,6,229.5,0.006107,2041.76,9,8,269,36,255.22,0.006971,8710.8,37,35,1090,171,248.88,0.00722,67551.75,373,315,13475,1841,214.45,0.008129
7.02E+11,432,4,4,211,39,108,0.024428,3397.42,29,26,1374,249,130.67,0.022657,16334.08,150,128,6222,1241,127.61,0.026405,98718.95,931,751,35183,6396,131.45,0.01938
7.02E+11,1080,10,10,195,50,108,0.06107,5082.54,67,58,1304,389,87.63,0.050542,41929.36,420,341,6841,1868,122.96,0.070343,302495.75,4122,3467,74144,18898,87.25,0.089469
7.02E+11,27.49,1,1,31,8,27.49,0.006107,188.08,8,8,224,67,23.51,0.006971,977.5,34,34,915,192,28.75,0.007014,7268.79,252,237,8525,1644,30.67,0.006116
7.02E+11,276.96,8,8,210,47,34.62,0.048856,2243.8,55,52,1526,343,43.15,0.045313,8274.28,252,203,5158,1394,40.76,0.041876,106453.44,2866,2592,66413,11567,41.07,0.066889
7.02E+11,666.75,15,15,232,67,44.45,0.091605,3991.05,107,105,1810,583,38.01,0.091498,25433.87,516,469,7356,2254,54.23,0.096748,79631.36,1765,1648,24360,5421,48.32,0.042528
7.02E+11,154.68,6,6,127,44,25.78,0.036642,1015.2,48,40,1110,351,25.38,0.034856,4790.76,197,166,3893,1356,28.86,0.034243,42974.5,1686,1525,31410,11617,28.18,0.039354
7.02E+11,217.5,5,5,98,35,43.5,0.030535,1028.72,29,28,672,271,36.74,0.024399,9357.3,186,185,3271,1052,50.58,0.038163,44719.68,1069,888,18052,5679,50.36,0.022916
7.02E+11,439.2,27,24,236,109,18.3,0.146568,2685.2,169,140,1970,771,19.18,0.121997,10623.04,855,712,8301,3989,14.92,0.146876,165814.56,8789,7911,74941,39386,20.96,0.204151
7.02E+11,464.75,11,11,245,121,42.25,0.067177,3430.72,79,71,2114,1010,48.32,0.06187,12536.28,332,291,8572,2975,43.08,0.060029,99186.75,3092,2925,79291,38581,33.91,0.075482
7.02E+11,192.92,8,7,117,36,27.56,0.042749,1255.68,56,48,707,248,26.16,0.041828,8197.08,273,249,3963,928,32.92,0.051365,36234.66,1853,1518,19476,7222,23.87,0.039173
7.02E+11,35.43,1,1,110,13,35.43,0.006107,303.73,7,7,705,98,43.39,0.0061,861.28,33,28,3392,484,30.76,0.005776,8470,213,200,24005,2104,42.35,0.005161
7.02E+11,241.1,11,10,108,48,24.11,0.06107,1321.22,64,62,936,403,21.31,0.054027,7894.95,313,309,2912,1279,25.55,0.063742,58808.88,2810,2379,26316,9461,24.72,0.061392
7.02E+11,80.36,2,2,72,24,40.18,0.012214,536.58,11,11,575,191,48.78,0.009585,2421.99,54,51,1803,596,47.49,0.010521,3495.2,103,85,3257,790,41.12,0.002194
7.02E+11,255.06,6,6,197,92,42.51,0.036642,1351.44,42,36,1487,627,37.54,0.031371,8036.49,261,213,5845,3071,37.73,0.043939,68578.03,2149,1843,53176,33903,37.21,0.04756
7.02E+11,2.82,1,1,31,7,2.82,0.006107,13.65,5,5,215,59,2.73,0.004357,103.29,41,33,941,245,3.13,0.006807,121.5,54,50,1336,255,2.43,0.00129
7.02E+11,34.14,2,2,127,18,17.07,0.012214,296.85,18,15,943,132,19.79,0.013071,922.76,60,59,4028,661,15.64,0.012171,10243.23,647,557,49484,7092,18.39,0.014374
7.02E+11,109.65,3,3,119,37,36.55,0.018321,774.44,22,19,817,245,40.76,0.016557,978.46,29,29,764,345,33.74,0.005982,832.78,30,26,780,329,32.03,0.000671
7.02E+11,240.4,9,8,140,59,30.05,0.048856,1577.19,68,57,981,424,27.67,0.04967,6244,204,200,4416,1504,31.22,0.041257,12940.2,460,390,6303,1968,33.18,0.010064
7.02E+11,216.79,7,7,95,40,30.97,0.042749,1608.16,54,46,780,234,34.96,0.040085,6793.36,231,196,2388,1125,34.66,0.040432,10493.26,330,307,4100,2028,34.18,0.007922
7.02E+11,210.72,12,12,210,86,17.56,0.073284,1796.45,111,95,1255,692,18.91,0.082784,4384.98,377,306,5913,2959,14.33,0.063123,62570.16,4002,3698,64342,30592,16.92,0.09543
7.02E+11,304.29,8,7,168,39,43.47,0.042749,3046.2,62,60,1371,235,50.77,0.052285,7329.57,193,177,5517,1063,41.41,0.036513,109070.8,2680,2570,72410,13102,42.44,0.066321
7.02E+11,36.1,5,5,75,36,7.22,0.030535,348.5,49,41,480,225,8.5,0.035728,1131.62,170,137,2714,1048,8.26,0.028261,4654.65,737,715,10689,5189,6.51,0.018451
7.02E+11,563.4,18,15,197,62,37.56,0.091605,4885.1,126,110,1718,349,44.41,0.095855,20995.65,591,485,6351,1536,43.29,0.100049,213267.11,5360,4753,56669,22994,44.87,0.122656
7.02E+11,373.59,11,9,192,78,41.51,0.054963,2601.3,66,65,1419,468,40.02,0.056642,11808.5,316,275,6397,2793,42.94,0.056729,119344.05,3771,3285,61045,29097,36.33,0.084772
7.02E+11,42.39,3,3,187,24,14.13,0.018321,298.08,23,23,1594,151,12.96,0.020042,1800.81,133,107,6552,586,16.83,0.022073,11247.36,1059,928,66069,9486,12.12,0.023948
7.02E+11,300,5,5,115,24,60,0.030535,1993.68,39,36,768,163,55.38,0.031371,9322.5,144,125,4263,765,74.58,0.025786,118918.6,1923,1838,32586,9231,64.7,0.047431
7.02E+11,420,7,7,140,40,60,0.042749,2625.91,52,49,1210,239,53.59,0.042699,10608.78,217,182,4993,1129,58.29,0.037544,77240.44,1753,1423,32755,7289,54.28,0.036722
7.02E+11,120,3,3,57,20,40,0.018321,126.24,3,3,57,20,42.08,0.002614,91.5,2,2,65,24,45.75,0.000413,123.9,3,3,62,18,41.3,0.000077
7.02E+11,40,1,1,127,22,40,0.006107,239.61,7,7,956,170,34.23,0.0061,1519.2,42,36,4048,716,42.2,0.007426,17250.42,526,443,50977,6643,38.94,0.011432
7.02E+11,76,1,1,173,20,76,0.006107,456.33,8,7,1314,143,65.19,0.0061,2135.35,39,35,5833,722,61.01,0.00722,27735.57,374,333,66008,6589,83.29,0.008593
7.02E+11,1026,14,12,123,60,85.5,0.073284,9233.04,104,93,730,344,99.28,0.081041,30491.4,393,356,3656,2100,85.65,0.073438,48636,691,579,4046,2399,84,0.014942
7.02E+11,152,2,2,40,14,76,0.012214,1092.75,16,15,288,122,72.85,0.013071,3492.17,61,53,1471,454,65.89,0.010933,34574.4,420,420,7103,2914,82.32,0.010838
7.02E+11,646,8,8,244,40,80.75,0.048856,5564,68,65,1748,300,85.6,0.056642,16807,240,196,7353,1006,85.75,0.040432,234731.51,3329,3277,102098,13074,71.63,0.084566
7.02E+11,21.1,2,2,95,14,10.55,0.012214,130.35,16,15,585,95,8.69,0.013071,819.72,78,69,2627,351,11.88,0.014234,8198.4,767,732,37540,4288,11.2,0.01889
